Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV
0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,0.6161380771426661,-0.19249264267312186,1,1,88,-0.5040653282773464
0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0.3502505571160864,-0.9741766808565829,1,1,67,0.42410450377751857
0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,-1.5076384890696393,-0.48534823215069955,1,1,82,-0.151563670748313
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,-0.6435040489832552,-0.7783362655520628,1,1,68,-1.2792308437548612
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,1.3672703212177542,1.816483015270936,1,1,84,-0.2496216857923607
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0.15914390209698223,-0.9767151893958097,1,1,73,-1.3595369767650727
0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,0.5413572121351905,-0.024200563516036545,1,1,98,0.6768574908307105
1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,1.2093996062019723,-0.8370530717637427,1,1,84,0.014120561567491672
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,1.1645310871974868,-0.7101938667642976,1,1,98,-2.0028313685626613
0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,-0.2928648819482031,-0.6832194542866011,1,1,91,0.08259210655514565
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,-0.3244390249513595,-0.9831387196994184,1,1,71,0.4029713108800945
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,0.3303089931140931,-0.9744415687041545,1,1,80,1.3353677815144445
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,0.5147684601325326,-0.1856055586362632,1,1,77,0.014965889283388635
1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,1.0415581091851935,-0.8072531889119503,1,1,66,-0.17607817450932492
0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0.14086413509515497,-0.5682360544532776,1,1,73,1.074161517302283
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,-0.6468276429835875,-0.060446050658735116,1,1,65,0.44439236895904566
0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,0.6244470621434968,-0.7071918044918207,1,1,65,-1.2859934654820369
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,0.31867641411292996,-0.9745960866152379,1,1,93,-1.3409397670153396
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,0.32033821111309646,-0.945877829141029,1,1,77,-0.11605990668064058
1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,-0.6983433499887373,-0.6084990072841439,1,1,66,-1.100021367984705
0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,-1.2068532320395708,-0.9495641850197322,1,1,89,-0.2546936520877425
0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,1.1612074931971548,-0.46066951435195586,1,1,76,-1.5742502166029013
0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,0.9750862291785486,-0.22052660654110434,1,1,87,-1.46604826896809
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,0.9784098231788811,-0.9334722482797644,1,1,72,-0.5792994949921761
0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,0.5230774451333633,-0.7854220154746002,1,1,98,0.5339971068441237
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,0.31867641411292996,-0.8596126867819145,1,1,82,0.7377210863752918
1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,1.330710787214099,0.816752130561545,1,1,88,-0.7678075756371988
0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,0.3469269631157543,-0.15565115787338749,1,1,99,0.09865333315718794
0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,0.36022133911708304,-0.23103382449477344,1,1,81,-1.9318238404273165
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,1.1728400721983174,0.5289294101878257,1,1,72,-1.5488903851259923
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,0.6726391751483144,-0.969894327320844,1,1,80,1.0809241390294586
1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,0.7075369121518029,-0.6391818496278412,1,1,85,-1.2124499541990013
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,-0.6385186579827569,-0.7438566973931742,1,1,74,0.3852194288462583
1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,0.7158458971526335,0.434452744553995,1,1,98,-0.87600952327201
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,0.5180920541328647,0.13872753672772628,1,1,92,1.3302958152190625
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,1.1794872601989819,0.5499438460951638,1,1,72,-1.400112707128127
1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,1.1811490571991479,1.4712458539360966,1,1,67,0.6506523316379046
0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,-1.5209328650709681,-0.904312511059603,1,1,72,-0.7314584838536294
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,0.3502505571160864,-0.9741766808565829,1,1,87,-0.9774488491796456
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,0.8122301231622688,-0.8545798176780561,1,1,74,1.1899714143801667
0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,0.6959043331506402,-0.9695852914986773,1,1,66,0.4055072940277854
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,-0.10342002392926519,-0.6923139370532222,1,1,67,1.0733161895863859
0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,1.3456669602155942,1.9886380422051058,1,1,91,-0.17269686364573708
1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,-1.156999322034587,-0.8975137229719349,1,1,83,-1.5446637465465076
0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,0.00792037508186511,-0.7146969601730129,1,1,76,-0.3527516671317901
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,-1.4876969250676457,-0.9466724926837435,1,1,100,0.06653087995310336
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,0.8404806721650927,1.00009866905561,1,1,96,0.5568209551733417
1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,1.5284646302338678,1.0621927953238262,1,1,65,-1.4136379505824783
0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,1.3539759452164248,2.0766028815861373,1,1,89,1.115582575381234
1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,1.3224018022132684,1.5508005041567334,1,1,91,1.5788221636927695
1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,0.6809481601491449,-0.6298224790136486,1,1,75,-0.6993360306495449
0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,-0.28621769394753876,0.09597022333222864,1,1,65,-1.9005467149391289
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,0.8238627021634315,-0.9678855944767601,1,1,99,0.5035653090718331
1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,0.9900424021800438,-0.16876310632817604,1,1,84,1.0175245603371863
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,-0.6335332669822583,-0.9872444813367766,1,1,95,-1.779664851565863
0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,0.8222009051632655,-0.9361211267554792,1,1,80,-1.9740902262221647
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0.15914390209698223,-0.9092791582015683,1,1,87,-1.2885294486297278
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,0.32698539911376057,-0.9744857166787498,1,1,94,-0.45672697618711655
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,-1.4993295040688086,-0.9348849834668123,1,1,83,0.8721281932029088
1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,-1.4926823160681442,-0.9915709828471106,1,1,68,-1.7230278946007667
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,-1.3464441800535252,-0.965015976128069,1,1,93,-1.9969140745513825
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0.16246749609731476,-0.9433393206018023,1,1,80,-1.7559956755207482
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,-0.6351950639824246,-0.9230754002625834,1,1,78,-1.2986733812204914
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,0.3419415721152558,-0.9742870507930711,1,1,78,0.370003529960113
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,-0.518869273970796,0.11875057822337658,1,1,90,1.0116072663259077
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,-0.9991286070188055,-0.9799379915412629,1,1,65,-1.0602909653375479
1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,0.5064594751317021,-0.9721017260506064,1,1,88,-1.9901514528242068
1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,-0.5155456799704636,-0.9672013008705339,1,1,89,-0.7821781468074471
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,0.3436033691154218,-0.8879115384974684,1,1,69,0.47736014987902725
1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,-0.4856333339674735,-0.9331852864448952,1,1,86,-0.9529343454186336
0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,0.5014740841312035,-0.1176838997214742,1,1,85,0.11386923204333327
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.502653098069141,-0.9987891766934337,1,1,66,-0.7137066018197932
0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,0.7042133181514708,-0.8390838785951241,1,1,74,1.047956358109477
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,-0.6451658459834212,-0.9449507216745289,1,1,67,-1.648639055601834
1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,0.9883806051798778,0.3636173193159197,1,1,96,-0.05688696656785319
0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,0.895319973170575,0.21024725557202806,1,1,97,-1.621588568693131
0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,0.7474200401557899,0.7327606088940857,1,1,73,0.7343397755117039
1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,1.1229861621933337,-0.5621657079464311,1,1,80,-0.627483174798303
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,1.1229861621933337,-0.1938612298855746,1,1,92,0.8822721257936723
0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,0.7025515211513048,-0.4469394942528338,1,1,96,-0.6942640643541631
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,0.8138919201624348,-0.1651429724113658,1,1,82,-1.0476110495990936
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,0.18407085709947407,-0.9152170607846294,1,1,66,-1.15158635865442
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,0.9501592741760567,-0.36963639073655447,1,1,77,0.730113136932219
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.491020519067978,-0.9986346587823504,1,1,100,-0.128739822419095
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,0.8022593411612722,-0.8069220791024859,1,1,79,-0.03744442910222305
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,1.0315873271841969,0.33324351279438896,1,1,76,-0.20228333370213078
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,0.572931355138347,-0.9259008706366793,1,1,97,-1.1405970983477594
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,-0.6451658459834212,-0.9679076684640578,1,1,81,-0.7796421636597562
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,-0.4174996569606623,-0.9843748629880854,1,1,71,-0.2217258711677609
0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,1.503537675231376,1.144705359842345,1,1,81,-1.6883694582489912
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,1.0631614701873533,1.6968199301305162,1,1,92,0.5204718633897724
0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,1.1213243651931677,-0.5402241645725928,1,1,74,0.662486919660462
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,0.684271754149477,-0.7913378440703634,1,1,75,0.24827633887095032
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,1.2143849972024705,0.808430237350341,1,1,70,-1.5421277633988166
